"collection_schema","uid","name","desc","date","colors","emoji"
"collection","12","Linux Commands","","1786479228","0",
"packs_schema","uid","name","desc","date","colors","collection","emoji"
"packs","70","General CLI","","1786479228","0","12",
"cards","8116","What utility manages dynamic device nodes in the /dev directory in Debian Trixie?",".","70","0","1786479228","**What utility manages dynamic device nodes in the /dev directory in Debian Trixie?** answer: udev","0"
"cards","8117","What configuration directory houses custom udev rule files?",".","70","0","1786479228","**What configuration directory houses custom udev rule files?** answer: /etc/udev/rules.d/","0"
"cards","8118","What command checks the status of a specific systemd-modules-load service or kernel module status?",".","70","0","1786479228","**What command checks the status of a specific systemd-modules-load service or kernel module status?** answer: modinfo","0"
"cards","8119","What command displays the vendor and device ID codes for PCI hardware components?",".","70","0","1786479228","**What command displays the vendor and device ID codes for PCI hardware components?** answer: lspci -n","0"
"cards","8120","What command filters dmesg output specifically for hardware errors or warnings?",".","70","0","1786479228","**What command filters dmesg output specifically for hardware errors or warnings?** answer: dmesg | grep -i error","0"
"cards","8121","What command monitors hardware sensors like temperature and fan speeds (if lm-sensors is installed)?",".","70","0","1786479228","**What command monitors hardware sensors like temperature and fan speeds (if lm-sensors is installed)?** answer: sensors","0"
"cards","8122","What command reports block device discard (TRIM) capabilities and alignment?",".","70","0","1786479228","**What command reports block device discard (TRIM) capabilities and alignment?** answer: lsblk --discard","0"
"cards","8123","What command lists all active interrupt requests (IRQs) used by hardware?",".","70","0","1786479228","**What command lists all active interrupt requests (IRQs) used by hardware?** answer: cat /proc/interrupts","0"
"cards","8124","What command displays direct memory access (DMA) channel allocations?",".","70","0","1786479228","**What command displays direct memory access (DMA) channel allocations?** answer: cat /proc/dma","0"
"cards","8125","What command lists active I/O port address ranges assigned to hardware devices?",".","70","0","1786479228","**What command lists active I/O port address ranges assigned to hardware devices?** answer: cat /proc/ioports","0"
"cards","8126","What file stores permanent kernel module configuration options loaded at boot?",".","70","0","1786479228","**What file stores permanent kernel module configuration options loaded at boot?** answer: /etc/modules","0"
"cards","8127","What directory contains configuration files for autoloading specific kernel modules?",".","70","0","1786479228","**What directory contains configuration files for autoloading specific kernel modules?** answer: /etc/modules-load.d/","0"
"cards","8128","What command tests a udev rule syntax or simulates its execution?",".","70","0","1786479228","**What command tests a udev rule syntax or simulates its execution?** answer: udevadm test","0"
"cards","8129","What command triggers udev to replay events for existing devices to populate /dev?",".","70","0","1786479228","**What command triggers udev to replay events for existing devices to populate /dev?** answer: udevadm trigger","0"
"cards","8130","What command reloads udev rules without restarting the system?",".","70","0","1786479228","**What command reloads udev rules without restarting the system?** answer: udevadm control --reload","0"
"cards","8131","What command displays the event queue of udev while hardware is being plugged in?",".","70","0","1786479228","**What command displays the event queue of udev while hardware is being plugged in?** answer: udevadm monitor","0"
"cards","8132","What utility retrieves device identifiers and properties for udev rule writing?",".","70","0","1786479228","**What utility retrieves device identifiers and properties for udev rule writing?** answer: udevadm info","0"
"cards","8133","What tool displays detailed power management and hardware status for batteries and ACPI?",".","70","0","1786479228","**What tool displays detailed power management and hardware status for batteries and ACPI?** answer: acpi","0"
"cards","8134","What file lists the devices currently mounted via swap space?",".","70","0","1786479228","**What file lists the devices currently mounted via swap space?** answer: /proc/swaps","0"
"cards","8135","What command displays information about block device queue parameters and limits?",".","70","0","1786479228","**What command displays information about block device queue parameters and limits?** answer: lsblk -D","0"
"cards","8136","What command shows detailed PCI bus topology and bridge information?",".","70","0","1786479228","**What command shows detailed PCI bus topology and bridge information?** answer: lspci -tv","0"
"cards","8137","What command prints the full path to a kernel module file?",".","70","0","1786479228","**What command prints the full path to a kernel module file?** answer: modinfo -F filename","0"
"cards","8138","What command displays parameters accepted by a specific kernel module?",".","70","0","1786479228","**What command displays parameters accepted by a specific kernel module?** answer: modinfo -p","0"
"cards","8139","What command lists modules that depend on a specific target module?",".","70","0","1786479228","**What command lists modules that depend on a specific target module?** answer: modinfo -F depends","0"
"cards","8140","What command queries hardware block device serial numbers and model names?",".","70","0","1786479228","**What command queries hardware block device serial numbers and model names?** answer: udevadm info --query=property --name=/dev/sda","0"
"cards","8141","What command checks whether a specific driver module is built-in or loaded?",".","70","0","1786479228","**What command checks whether a specific driver module is built-in or loaded?** answer: lsmod | grep module_name","0"
"cards","8142","What command displays system firmware (BIOS/UEFI) details from the kernel?",".","70","0","1786479228","**What command displays system firmware (BIOS/UEFI) details from the kernel?** answer: dmidecode","0"
"cards","8143","What command-line utility installs, configures, or updates the GRUB bootloader on a storage device?",".","70","0","1786479228","**What command-line utility installs, configures, or updates the GRUB bootloader on a storage device?** answer: grub-install","0"
"cards","8144","What command updates the GRUB configuration file based on settings in /etc/default/grub and scripts in /etc/grub.d/?",".","70","0","1786479228","**What command updates the GRUB configuration file based on settings in /etc/default/grub and scripts in /etc/grub.d/?** answer: update-grub","0"
"cards","8145","What file serves as the primary template configuration file for the GRUB bootloader in Debian?",".","70","0","1786479228","**What file serves as the primary template configuration file for the GRUB bootloader in Debian?** answer: /etc/default/grub","0"
"cards","8146","What directory contains the script files used to generate the main GRUB configuration file?",".","70","0","1786479228","**What directory contains the script files used to generate the main GRUB configuration file?** answer: /etc/grub.d/","0"
"cards","8147","What file is the final, generated GRUB configuration file read during system startup?",".","70","0","1786479228","**What file is the final, generated GRUB configuration file read during system startup?** answer: /boot/grub/grub.cfg","0"
"cards","8148","What command displays messages logged by the kernel during the boot process?",".","70","0","1786479228","**What command displays messages logged by the kernel during the boot process?** answer: dmesg","0"
"cards","8149","What log file records system boot events, service startups, and runtime messages via systemd?",".","70","0","1786479228","**What log file records system boot events, service startups, and runtime messages via systemd?** answer: /var/log/journal/","0"
"cards","8150","What command-line tool views and filters systemd journal entries?",".","70","0","1786479228","**What command-line tool views and filters systemd journal entries?** answer: journalctl","0"
"cards","8151","What boot method relies on legacy motherboard firmware, reading the Master Boot Record (MBR) from sector 0 of a disk?",".","70","0","1786479228","**What boot method relies on legacy motherboard firmware, reading the Master Boot Record (MBR) from sector 0 of a disk?** answer: BIOS","0"
"cards","8152","What modern motherboard firmware standard uses an EFI system partition (ESP) to boot operating systems?",".","70","0","1786479228","**What modern motherboard firmware standard uses an EFI system partition (ESP) to boot operating systems?** answer: UEFI","0"
"cards","8153","What is the standard filesystem format for an EFI System Partition (ESP)?",".","70","0","1786479228","**What is the standard filesystem format for an EFI System Partition (ESP)?** answer: FAT32","0"
"cards","8154","What file contains the manual or persistent boot options passed to the Linux kernel by GRUB?",".","70","0","1786479228","**What file contains the manual or persistent boot options passed to the Linux kernel by GRUB?** answer: /boot/grub/grub.cfg","0"
"cards","8155","What command checks the integrity and status of the systemd journal files?",".","70","0","1786479228","**What command checks the integrity and status of the systemd journal files?** answer: journalctl --verify","0"
"cards","8156","What command forces journalctl to display logs starting from the previous boot session?",".","70","0","1786479228","**What command forces journalctl to display logs starting from the previous boot session?** answer: journalctl -b -1","0"
"cards","8157","What command lists all available boot identification keys or boot sessions in the journal?",".","70","0","1786479228","**What command lists all available boot identification keys or boot sessions in the journal?** answer: journalctl --list-boots","0"
"cards","8158","What key tool manages modern system startup, acting as PID 1 in Debian Trixie?",".","70","0","1786479228","**What key tool manages modern system startup, acting as PID 1 in Debian Trixie?** answer: systemd","0"
"cards","8159","What command shows the current default systemd boot target?",".","70","0","1786479228","**What command shows the current default systemd boot target?** answer: systemctl get-default","0"
"cards","8160","What command changes the default systemd boot target to a multi-user text mode?",".","70","0","1786479228","**What command changes the default systemd boot target to a multi-user text mode?** answer: systemctl set-default multi-user.target","0"
"cards","8161","What command changes the default systemd boot target to a graphical mode?",".","70","0","1786479228","**What command changes the default systemd boot target to a graphical mode?** answer: systemctl set-default graphical.target","0"
"cards","8162","What tool inspects the execution time and performance bottlenecks of systemd startup services?",".","70","0","1786479228","**What tool inspects the execution time and performance bottlenecks of systemd startup services?** answer: systemd-analyze","0"
"cards","8163","What systemd-analyze subcommand shows a detailed tree of service initialization times?",".","70","0","1786479228","**What systemd-analyze subcommand shows a detailed tree of service initialization times?** answer: systemd-analyze blame","0"
"cards","8164","What command plots a graphical SVG timeline of the system boot process using systemd-analyze?",".","70","0","1786479228","**What command plots a graphical SVG timeline of the system boot process using systemd-analyze?** answer: systemd-analyze plot > boot.svg","0"
"cards","8165","What file system directory stores kernel images and initial RAM disk files in Debian?",".","70","0","1786479228","**What file system directory stores kernel images and initial RAM disk files in Debian?** answer: /boot","0"
"cards","8166","What file represents the initial RAM disk loaded by the bootloader to provide early drivers?",".","70","0","1786479228","**What file represents the initial RAM disk loaded by the bootloader to provide early drivers?** answer: initrd.img","0"
"cards","8167","What command generates or updates an initial RAM disk image for installed kernels?",".","70","0","1786479228","**What command generates or updates an initial RAM disk image for installed kernels?** answer: update-initramfs","0"
"cards","8168","What command lists kernels installed on the Debian system alongside their versions?",".","70","0","1786479228","**What command lists kernels installed on the Debian system alongside their versions?** answer: dpkg -l | grep linux-image","0"
"cards","8169","What parameter in /etc/default/grub sets the timeout duration before the default OS boots?",".","70","0","1786479228","**What parameter in /etc/default/grub sets the timeout duration before the default OS boots?** answer: GRUB_TIMEOUT","0"
"cards","8170","What parameter in /etc/default/grub hides the boot menu by default unless a key is pressed?",".","70","0","1786479228","**What parameter in /etc/default/grub hides the boot menu by default unless a key is pressed?** answer: GRUB_HIDDEN_TIMEOUT","0"
"cards","8171","What boot parameter passed to the kernel forces it into rescue or single-user mode?",".","70","0","1786479228","**What boot parameter passed to the kernel forces it into rescue or single-user mode?** answer: single","0"
"cards","8172","What command shows the current active systemd target or runlevel?",".","70","0","1786479228","**What command shows the current active systemd target or runlevel?** answer: systemctl get-default","0"
"cards","8173","What command changes the default systemd boot target to multi-user (text) mode?",".","70","0","1786479228","**What command changes the default systemd boot target to multi-user (text) mode?** answer: systemctl set-default multi-user.target","0"
"cards","8174","What command changes the default systemd boot target to graphical mode?",".","70","0","1786479228","**What command changes the default systemd boot target to graphical mode?** answer: systemctl set-default graphical.target","0"
"cards","8175","What command switches the active systemd target immediately to multi-user mode without rebooting?",".","70","0","1786479228","**What command switches the active systemd target immediately to multi-user mode without rebooting?** answer: systemctl isolate multi-user.target","0"
"cards","8176","What command switches the active systemd target immediately to graphical mode?",".","70","0","1786479228","**What command switches the active systemd target immediately to graphical mode?** answer: systemctl isolate graphical.target","0"
"cards","8177","What systemd target corresponds to legacy SysVinit runlevel 0 (halt/shutdown)?",".","70","0","1786479228","**What systemd target corresponds to legacy SysVinit runlevel 0 (halt/shutdown)?** answer: poweroff.target","0"
"cards","8178","What systemd target corresponds to legacy SysVinit runlevel 6 (reboot)?",".","70","0","1786479228","**What systemd target corresponds to legacy SysVinit runlevel 6 (reboot)?** answer: reboot.target","0"
"cards","8179","What systemd target corresponds to legacy SysVinit runlevel 1 (single-user/rescue mode)?",".","70","0","1786479228","**What systemd target corresponds to legacy SysVinit runlevel 1 (single-user/rescue mode)?** answer: rescue.target","0"
"cards","8180","What systemd target corresponds to multi-user text-mode without networking in SysVinit terms?",".","70","0","1786479228","**What systemd target corresponds to multi-user text-mode without networking in SysVinit terms?** answer: multi-user.target","0"
"cards","8181","What systemd target corresponds to graphical multi-user mode with display manager?",".","70","0","1786479228","**What systemd target corresponds to graphical multi-user mode with display manager?** answer: graphical.target","0"
"cards","8182","What command shuts down the system immediately?",".","70","0","1786479228","**What command shuts down the system immediately?** answer: shutdown now","0"
"cards","8183","What command schedules a system shutdown with a warning message in 10 minutes?",".","70","0","1786479228","**What command schedules a system shutdown with a warning message in 10 minutes?** answer: shutdown +10 'System maintenance incoming'","0"
"cards","8184","What command cancels a pending scheduled shutdown command?",".","70","0","1786479228","**What command cancels a pending scheduled shutdown command?** answer: shutdown -c","0"
"cards","8185","What command halts the system immediately without powering off the hardware?",".","70","0","1786479228","**What command halts the system immediately without powering off the hardware?** answer: halt","0"
"cards","8186","What command powers off the system immediately?",".","70","0","1786479228","**What command powers off the system immediately?** answer: poweroff","0"
"cards","8187","What command reboots the system immediately?",".","70","0","1786479228","**What command reboots the system immediately?** answer: reboot","0"
"cards","8188","What command sends a warning broadcast message to all logged-in users?",".","70","0","1786479228","**What command sends a warning broadcast message to all logged-in users?** answer: wall","0"
"cards","8189","What command queries who is currently logged into the system and what they are doing?",".","70","0","1786479228","**What command queries who is currently logged into the system and what they are doing?** answer: w","0"
"cards","8190","What command displays a list of currently logged-in users?",".","70","0","1786479228","**What command displays a list of currently logged-in users?** answer: who","0"
"cards","8191","What command shows the last login times of users?",".","70","0","1786479228","**What command shows the last login times of users?** answer: last","0"
"cards","8192","What file maps traditional SysVinit runlevels to systemd targets?",".","70","0","1786479228","**What file maps traditional SysVinit runlevels to systemd targets?** answer: /etc/systemd/system/default.target","0"
"cards","8193","What command lists all available systemd targets on the system?",".","70","0","1786479228","**What command lists all available systemd targets on the system?** answer: systemctl list-units --type=target","0"
"cards","8194","What command inspects whether a specific systemd target unit is active?",".","70","0","1786479228","**What command inspects whether a specific systemd target unit is active?** answer: systemctl is-active multi-user.target","0"
"cards","8195","What command checks whether a systemd target is enabled to run at boot?",".","70","0","1786479228","**What command checks whether a systemd target is enabled to run at boot?** answer: systemctl is-enabled graphical.target","0"
"cards","8196","What command forces a reboot immediately, bypassing normal service shutdown procedures?",".","70","0","1786479228","**What command forces a reboot immediately, bypassing normal service shutdown procedures?** answer: reboot -f","0"
"cards","8197","What command halts the system and invokes a kernel panic or immediate stop?",".","70","0","1786479228","**What command halts the system and invokes a kernel panic or immediate stop?** answer: halt -f","0"
"cards","8198","What command halts the system and requests ACPI power down?",".","70","0","1786479228","**What command halts the system and requests ACPI power down?** answer: poweroff -p","0"
"cards","8199","What command signals init to shut down the system via SysVinit compatibility?",".","70","0","1786479228","**What command signals init to shut down the system via SysVinit compatibility?** answer: telinit 0","0"
"cards","8200","What command signals init to switch to single-user mode via SysVinit compatibility?",".","70","0","1786479228","**What command signals init to switch to single-user mode via SysVinit compatibility?** answer: telinit 1","0"
"cards","8201","What command lists running processes and their parent process IDs during shutdown?",".","70","0","1786479228","**What command lists running processes and their parent process IDs during shutdown?** answer: pstree","0"
"cards","8202","What systemd utility safely manages emergency shell execution when system startup fails?",".","70","0","1786479228","**What systemd utility safely manages emergency shell execution when system startup fails?** answer: sulogin","0"
"cards","8203","What command shuts down the system at a specific time, such as 23:30?",".","70","0","1786479228","**What command shuts down the system at a specific time, such as 23:30?** answer: shutdown 23:30","0"
"cards","8204","What parameter passed to shutdown forces a file system check upon the next reboot?",".","70","0","1786479228","**What parameter passed to shutdown forces a file system check upon the next reboot?** answer: shutdown -F","0"
"cards","8205","What parameter prevents a file system check from running on reboot?",".","70","0","1786479228","**What parameter prevents a file system check from running on reboot?** answer: shutdown -f","0"
"cards","8206","What command queries the hardware real-time clock (RTC) status?",".","70","0","1786479228","**What command queries the hardware real-time clock (RTC) status?** answer: hwclock","0"
"cards","8207","What command synchronizes the system clock with the hardware RTC?",".","70","0","1786479228","**What command synchronizes the system clock with the hardware RTC?** answer: hwclock --systohc","0"
"cards","8208","What command synchronizes the hardware RTC with the system clock?",".","70","0","1786479228","**What command synchronizes the hardware RTC with the system clock?** answer: hwclock --hctosys","0"
"cards","8209","What file stores configuration settings for system timezone in Debian?",".","70","0","1786479228","**What file stores configuration settings for system timezone in Debian?** answer: /etc/timezone","0"
"cards","8210","What command interactively reconfigures the system timezone settings?",".","70","0","1786479228","**What command interactively reconfigures the system timezone settings?** answer: dpkg-reconfigure tzdata","0"
"cards","8211","What command displays current date, time, and time zone configurations via systemd?",".","70","0","1786479228","**What command displays current date, time, and time zone configurations via systemd?** answer: timedatectl","0"
"cards","8212","What command changes the system timezone using timedatectl?",".","70","0","1786479228","**What command changes the system timezone using timedatectl?** answer: timedatectl set-timezone Europe/Berlin","0"
"cards","8213","What command enables network time synchronization using timedatectl?",".","70","0","1786479228","**What command enables network time synchronization using timedatectl?** answer: timedatectl set-ntp true","0"
"cards","8214","What command lists available timezones using timedatectl?",".","70","0","1786479228","**What command lists available timezones using timedatectl?** answer: timedatectl list-timezones","0"
"cards","8215","What command shows the current status of wall-clock time and NTP synchronization?",".","70","0","1786479228","**What command shows the current status of wall-clock time and NTP synchronization?** answer: timedatectl status","0"
"cards","8216","What command logs a custom message into the systemd journal logs?",".","70","0","1786479228","**What command logs a custom message into the systemd journal logs?** answer: logger 'System maintenance complete'","0"
"cards","8217","What command installs a local .deb package file?",".","70","0","1786479228","**What command installs a local .deb package file?** answer: dpkg -i","0"
"cards","8218","What command removes an installed package while keeping its configuration files?",".","70","0","1786479228","**What command removes an installed package while keeping its configuration files?** answer: dpkg -r","0"
"cards","8219","What command removes a package and purges its configuration files?",".","70","0","1786479228","**What command removes a package and purges its configuration files?** answer: dpkg -P","0"
"cards","8220","What command lists all installed packages on the system via dpkg?",".","70","0","1786479228","**What command lists all installed packages on the system via dpkg?** answer: dpkg -l","0"
"cards","8221","What command shows which package owns a specific file path on the system?",".","70","0","1786479228","**What command shows which package owns a specific file path on the system?** answer: dpkg -S","0"
"cards","8222","What command lists all files installed by a specific package name?",".","70","0","1786479228","**What command lists all files installed by a specific package name?** answer: dpkg -L","0"
"cards","8223","What command configures an unpacked but unconfigured package?",".","70","0","1786479228","**What command configures an unpacked but unconfigured package?** answer: dpkg --configure","0"
"cards","8224","What command updates the local APT package lists from repositories?",".","70","0","1786479228","**What command updates the local APT package lists from repositories?** answer: apt update","0"
"cards","8225","What command upgrades all currently installed packages to their newest versions?",".","70","0","1786479228","**What command upgrades all currently installed packages to their newest versions?** answer: apt upgrade","0"
"cards","8226","What command performs a smart upgrade that handles changing dependencies with new packages?",".","70","0","1786479228","**What command performs a smart upgrade that handles changing dependencies with new packages?** answer: apt full-upgrade","0"
"cards","8227","What command installs a new package from configured repositories?",".","70","0","1786479228","**What command installs a new package from configured repositories?** answer: apt install","0"
"cards","8228","What command removes a package while leaving configuration files intact using APT?",".","70","0","1786479228","**What command removes a package while leaving configuration files intact using APT?** answer: apt remove","0"
"cards","8229","What command removes a package and purges its configuration files using APT?",".","70","0","1786479228","**What command removes a package and purges its configuration files using APT?** answer: apt purge","0"
"cards","8230","What command searches for packages matching a keyword in name or description?",".","70","0","1786479228","**What command searches for packages matching a keyword in name or description?** answer: apt search","0"
"cards","8231","What command displays detailed metadata and description of a package?",".","70","0","1786479228","**What command displays detailed metadata and description of a package?** answer: apt show","0"
"cards","8232","What command cleans the local repository cache of retrieved package files (.deb)?",".","70","0","1786479228","**What command cleans the local repository cache of retrieved package files (.deb)?** answer: apt clean","0"
"cards","8233","What command removes older obsolete package files from the local cache?",".","70","0","1786479228","**What command removes older obsolete package files from the local cache?** answer: apt autoclean","0"
"cards","8234","What command automatically removes orphaned packages that were installed as dependencies?",".","70","0","1786479228","**What command automatically removes orphaned packages that were installed as dependencies?** answer: apt autoremove","0"
"cards","8235","What command checks for broken dependencies among installed packages?",".","70","0","1786479228","**What command checks for broken dependencies among installed packages?** answer: apt-get check","0"
"cards","8236","What file lists the software repository sources for APT?",".","70","0","1786479228","**What file lists the software repository sources for APT?** answer: /etc/apt/sources.list","0"
"cards","8237","What directory contains additional repository source list snippets in Debian?",".","70","0","1786479228","**What directory contains additional repository source list snippets in Debian?** answer: /etc/apt/sources.list.d/","0"
"cards","8238","What command-line tool provides a text-based interface for managing APT packages?",".","70","0","1786479228","**What command-line tool provides a text-based interface for managing APT packages?** answer: aptitude","0"
"cards","8239","What low-level tool manages package dependencies and database queries in Debian?",".","70","0","1786479228","**What low-level tool manages package dependencies and database queries in Debian?** answer: dpkg-query","0"
"cards","8240","What command verifies the integrity of files installed by a package against the dpkg database?",".","70","0","1786479228","**What command verifies the integrity of files installed by a package against the dpkg database?** answer: dpkg -V","0"
"cards","8241","What command displays the current status of a package in the dpkg database?",".","70","0","1786479228","**What command displays the current status of a package in the dpkg database?** answer: dpkg -s","0"
"cards","8242","What command lists contents of an uninstalled local .deb file without installing it?",".","70","0","1786479228","**What command lists contents of an uninstalled local .deb file without installing it?** answer: dpkg -c","0"
"cards","8243","What command extracts the control information files from a local .deb package?",".","70","0","1786479228","**What command extracts the control information files from a local .deb package?** answer: dpkg -e","0"
"cards","8244","What environment variable can be set to avoid interactive prompts during apt installations?",".","70","0","1786479228","**What environment variable can be set to avoid interactive prompts during apt installations?** answer: DEBIAN_FRONTEND=noninteractive","0"
"cards","8245","What command displays package change logs (changelog) for an installed package?",".","70","0","1786479228","**What command displays package change logs (changelog) for an installed package?** answer: apt-changelog","0"
"cards","8246","What command downloads a .deb package file to the current directory without installing it?",".","70","0","1786479228","**What command downloads a .deb package file to the current directory without installing it?** answer: apt download","0"
"cards","8247","What command displays the dependency tree for a specified package?",".","70","0","1786479228","**What command displays the dependency tree for a specified package?** answer: apt-cache depends","0"
"cards","8248","What command shows packages that depend on a specific target package?",".","70","0","1786479228","**What command shows packages that depend on a specific target package?** answer: apt-cache rdepends","0"
"cards","8249","What command queries package cache statistics such as total package counts?",".","70","0","1786479228","**What command queries package cache statistics such as total package counts?** answer: apt-cache stats","0"
"cards","8250","What configuration file sets default behaviors or options for APT operations?",".","70","0","1786479228","**What configuration file sets default behaviors or options for APT operations?** answer: /etc/apt/apt.conf","0"
"cards","8251","What command lists dynamic shared library dependencies for an executable or library file?",".","70","0","1786479228","**What command lists dynamic shared library dependencies for an executable or library file?** answer: ldd","0"
"cards","8252","What configuration file specifies the default paths where dynamic linker searches for shared libraries?",".","70","0","1786479228","**What configuration file specifies the default paths where dynamic linker searches for shared libraries?** answer: /etc/ld.so.conf","0"
"cards","8253","What command updates the shared library cache based on configurations in /etc/ld.so.conf?",".","70","0","1786479228","**What command updates the shared library cache based on configurations in /etc/ld.so.conf?** answer: ldconfig","0"
"cards","8254","What environment variable temporarily overrides the search path for dynamic shared libraries at runtime?",".","70","0","1786479228","**What environment variable temporarily overrides the search path for dynamic shared libraries at runtime?** answer: LD_LIBRARY_PATH","0"
"cards","8255","What directory contains custom shared library configuration snippet files in Debian?",".","70","0","1786479228","**What directory contains custom shared library configuration snippet files in Debian?** answer: /etc/ld.so.conf.d/","0"
"cards","8256","What file stores the cached list of shared library paths and filenames used by the dynamic loader?",".","70","0","1786479228","**What file stores the cached list of shared library paths and filenames used by the dynamic loader?** answer: /etc/ld.so.cache","0"
"cards","8257","What command displays detailed file system statistics and block allocation block size?",".","70","0","1786479228","**What command displays detailed file system statistics and block allocation block size?** answer: tune2fs","0"
"cards","8258","What command lists mounted block devices along with their UUIDs, labels, and file system types?",".","70","0","1786479228","**What command lists mounted block devices along with their UUIDs, labels, and file system types?** answer: blkid","0"
"cards","8259","What command modifies the volume label or UUID of an ext2/ext3/ext4 filesystem?",".","70","0","1786479228","**What command modifies the volume label or UUID of an ext2/ext3/ext4 filesystem?** answer: tune2fs -L","0"
"cards","8260","What command creates an ext4 filesystem on a block device?",".","70","0","1786479228","**What command creates an ext4 filesystem on a block device?** answer: mkfs.ext4","0"
"cards","8261","What command creates an XFS filesystem on a block device?",".","70","0","1786479228","**What command creates an XFS filesystem on a block device?** answer: mkfs.xfs","0"
"cards","8262","What command checks and repairs an ext2/ext3/ext4 filesystem for consistency errors?",".","70","0","1786479228","**What command checks and repairs an ext2/ext3/ext4 filesystem for consistency errors?** answer: fsck.ext4","0"
"cards","8263","What command checks and repairs an XFS filesystem?",".","70","0","1786479228","**What command checks and repairs an XFS filesystem?** answer: xfs_repair","0"
"cards","8264","What command displays internal XFS filesystem information and block usage metrics?",".","70","0","1786479228","**What command displays internal XFS filesystem information and block usage metrics?** answer: xfs_info","0"
"cards","8265","What command adjusts the maximum mount count or interval between filesystem consistency checks?",".","70","0","1786479228","**What command adjusts the maximum mount count or interval between filesystem consistency checks?** answer: tune2fs -c","0"
"cards","8266","What command prints or changes bad block lists on an ext4 filesystem?",".","70","0","1786479228","**What command prints or changes bad block lists on an ext4 filesystem?** answer: badblocks","0"
"cards","8267","What command displays mount status and block usage for ext4 filesystems in detail?",".","70","0","1786479228","**What command displays mount status and block usage for ext4 filesystems in detail?** answer: dumpe2fs","0"
"cards","8268","What command creates a swap space partition or file?",".","70","0","1786479228","**What command creates a swap space partition or file?** answer: mkswap","0"
"cards","8269","What command enables a swap space partition or file for system use?",".","70","0","1786479228","**What command enables a swap space partition or file for system use?** answer: swapon","0"
